Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
176,2023-12-14,131.3122100830078,133.0837393336483,129.0729159552244,132.74536075457883,38722400
177,2023-12-15,131.96905517578125,132.87471357909496,130.55579860135293,130.99370737808474,50815200
178,2023-12-18,135.15383911132812,136.4974064259798,131.79986392780293,131.99892443621175,32258000
179,2023-12-19,135.99978637695312,136.81589194521072,135.43250644576105,136.18888474941207,25476800
180,2023-12-20,137.68173217773438,141.02574487397254,137.4130278546512,138.30873930396123,49107200
181,2023-12-21,139.75186157226562,140.02058112931533,138.51775618635745,138.8262939224738,27488300
182,2023-12-22,140.81675720214844,141.3143780648777,140.0404698711855,140.10018194492363,26514600
183,2023-12-26,140.8466339111328,142.00110294060704,140.51820227118546,140.91629294532333,16780300
184,2023-12-27,139.7020721435547,141.4039421272873,139.22436038114222,140.91626822874798,19628600
185,2023-12-28,139.56275939941406,140.46843312127822,139.08504756687975,140.11014545033115,16045700
186,2023-12-29,139.02532958984375,139.6921397740678,138.11965590639036,138.9656175115826,18727200
187,2024-01-02,137.51255798339844,138.78646627528045,135.83059690794266,137.89075472780192,23711200
188,2024-01-03,138.25900268554688,138.96563111524162,136.42776123741183,136.59695053777565,24212100
189,2024-01-04,135.7410125732422,138.49783628802103,135.701209587832,137.76135197537812,27137700
190,2024-01-05,135.08416748046875,136.50737117465926,134.50692540464604,136.09931838527314,22506000
191,2024-01-08,138.17938232421875,138.34857162557788,135.6116563892304,135.6415124314593,21404000
192,2024-01-09,140.2793426513672,140.81678178118554,137.49266229644218,137.84100303562764,24759600
193,2024-01-10,141.60299682617188,142.31957211043382,140.23952047042707,140.32908858441377,21320200
194,2024-01-11,141.40394592285156,144.52900432776065,139.97079541096244,142.80724039792497,24008700
195,2024-01-12,141.97125244140625,142.51863852935318,141.14521501963384,141.99116153174606,18768600
196,2024-01-16,141.81201171875,143.66316210251998,140.77695172665017,141.3243377622621,22670500
197,2024-01-17,140.79685974121094,141.16509435045725,138.2390810062168,140.67743558387372,20968600
198,2024-01-18,142.7972869873047,143.5238244240393,141.3143864475642,141.37409852484444,25746400
199,2024-01-19,145.68348693847656,145.75314596163335,143.69300351070092,144.0512911351479,33300700
200,2024-01-22,145.2953643798828,147.68393876565145,145.14606898940627,146.40008345019257,32200400
201,2024-01-23,146.34034729003906,146.479680534306,144.80768160310274,145.19582529685954,21636100
202,2024-01-24,147.99244689941406,149.1369840368619,147.39531095421805,147.83320457288815,25233500
203,2024-01-25,151.14735412597656,152.32174724438246,148.82843911184986,149.35593119114108,29149100
204,2024-01-26,151.46583557128906,151.81416105186207,150.2914424776346,150.38102577143502,26115500
205,2024-01-29,152.77957153320312,153.0482910859022,150.70946665463993,151.33647388220928,27784300
206,2024-01-30,150.73931884765625,152.88902943924788,150.47059932888845,152.07293911887135,36331800
207,2024-01-31,139.43338012695312,143.314817013255,139.20446358239303,142.93662027544656,71910000
208,2024-02-01,140.48834228515625,142.37929571349378,140.12009247642374,141.44376595073413,40466500
209,2024-02-02,141.70252990722656,141.94137821596175,135.8505033642639,138.5973652180094,62470600
210,2024-02-05,142.996337890625,144.7778292586984,142.10062632407735,142.14044450127528,38505400
211,2024-02-06,143.4143524169922,144.6683516438696,142.5086787155993,143.9617232693515,29128200
212,2024-02-07,144.8474884033203,144.9271095715937,143.24514845900856,144.07120099538642,25208900
213,2024-02-08,145.2157440185547,145.6337437790856,144.40960053851757,145.1361228470937,22563800
214,2024-02-09,148.291015625,148.72892440965512,145.4844266976286,145.98204755543063,26829500
215,2024-02-12,146.82803344726562,148.6294188215734,146.6687911016663,147.7137981136562,21564100
216,2024-02-13,144.44940185546875,145.97212067480473,143.00630420667008,144.23044743303745,27837700
217,2024-02-14,145.24559020996094,145.82283227426896,143.40438681197526,145.38492345402256,22704200
218,2024-02-15,142.09066772460938,142.83709903093674,139.79166173091048,142.45890230948538,37590700
219,2024-02-16,139.85137939453125,142.5086731289085,139.47318265796596,142.30962780983683,31451100
220,2024-02-20,140.44851684570312,141.40395564806843,138.82628305113792,138.99547233345777,25144700
221,2024-02-21,141.87171936035156,142.01105260267784,140.0106068974836,140.7769473233704,23315700
222,2024-02-22,143.40438842773438,144.31006211743158,142.1205331777144,144.2403879015234,27191900
223,2024-02-23,143.2750244140625,143.99158457980388,142.7475322585676,142.98639577127176,19493800
224,2024-02-26,136.91543579101562,141.76225899571614,136.73628435178185,141.46368338778402,53641800
225,2024-02-27,138.2191925048828,138.5874271285175,136.43770109534037,137.36328390942444,33099200
226,2024-02-28,135.7310791015625,137.35331287977036,134.76569335803654,137.24383567629263,37328600
227,2024-02-29,137.80117797851562,138.19926859997335,135.75096723807542,136.62678482870294,42133000
228,2024-03-01,136.48745727539062,138.20922130484942,136.26850286861733,137.7713124913028,31119500
229,2024-03-04,132.7154998779297,135.01450600221577,131.28234925858652,135.01450600221577,55999400
230,2024-03-05,132.03872680664062,132.60602191781157,130.04824322136915,131.2524924723796,40194800
231,2024-03-06,130.77476501464844,132.94440001172532,130.22739417958527,132.4865821068133,35318600
232,2024-03-07,133.7406005859375,134.29793357515936,130.98377649333827,132.1581545511722,37738200
233,2024-03-08,134.7657012939453,137.43294213765384,133.36240665387308,133.57141412234174,39343100
234,2024-03-11,137.01492309570312,138.43812662433942,135.48225755873952,135.48225755873952,32437800
235,2024-03-12,137.84097290039062,138.71679043976945,136.37796641355683,136.37796641355683,27563400
236,2024-03-13,139.12484741210938,140.4186648160553,138.3286661046211,138.33861305579995,23347200
237,2024-03-14,142.4191131591797,142.90677194087021,139.79167531307277,140.5181976030222,42753400
238,2024-03-15,140.5082244873047,142.49870800871952,139.3637025369648,141.82195090080685,49460600
239,2024-03-18,146.977294921875,151.4260267765602,146.4697270944285,147.90287764978802,69273700
240,2024-03-19,146.3303985595703,148.08201863565114,145.38492190024363,147.45502663716707,24070400
241,2024-03-20,148.0322723388672,148.15169649653035,146.04178871816205,147.29578793217973,21311500
242,2024-03-21,146.89768981933594,149.65449855989905,146.20100843853635,148.75878705056255,24755600
243,2024-03-22,150.0526123046875,150.85875574292584,148.2711209562635,148.41045420254932,29175700
244,2024-03-25,149.35594177246094,149.6644642956251,147.11664775908744,149.22655548099812,19229300
245,2024-03-26,149.9530792236328,151.53551003081748,149.26635995623974,149.505223453737,22149100
246,2024-03-27,150.15211486816406,150.91845525200065,148.19148744617945,150.46063737451573,22879200
247,2024-03-28,150.2118377685547,150.70945866916398,149.45545946665504,150.13223178829975,24485400
248,2024-04-01,154.75015258789062,154.99896303730998,149.89336775564567,149.972988921802,31730800
249,2024-04-02,153.8245849609375,153.96391821888022,151.42604834775094,152.7696309813447,24586000
250,2024-04-03,154.18284606933594,154.3420883898699,152.0032642638509,152.8691348903896,24705000
251,2024-04-04,149.81375122070312,154.03358204033015,149.73413005208545,152.7696206660751,34724700
252,2024-04-05,151.7743682861328,152.6899888823038,148.8881732587718,149.31611992588236,23449300
253,2024-04-08,154.11318969726562,154.53118940622207,151.88384272998078,152.0530320036405,20702000
254,2024-04-09,155.85487365722656,157.80553910227465,154.4515790592109,155.3472906145229,31113000
255,2024-04-10,155.39706420898438,155.8648291004754,153.94400440401932,155.4667384289104,22838600
256,2024-04-11,158.6514892578125,158.92019359328873,155.7155291650152,156.16338491032602,27166400
257,2024-04-12,156.9794921875,159.4576498521726,156.39230314278245,157.20840874623565,25329200
258,2024-04-15,154.12315368652344,158.48231785442226,153.85443413456358,158.1041210913814,27136500
259,2024-04-16,153.6653289794922,154.9093812386726,152.6999432114734,153.45633670421336,20779500
260,2024-04-17,154.73025512695312,156.33259514906842,153.84449046790715,154.87953533334849,21763100
261,2024-04-18,155.26766967773438,156.19325246003623,153.88428416601494,154.6008594858019,19883000
262,2024-04-19,153.35679626464844,155.61599926941918,151.5753202297304,155.45675694613493,32239100
263,2024-04-22,155.53639221191406,156.88992171020138,153.32695413108942,153.5757645889644,26446200
264,2024-04-23,157.5069580078125,158.21358635071638,155.53638354340058,156.21315584791824,21151600
265,2024-04-24,158.37283325195312,158.8107420758396,156.42215263269097,156.74063729958468,22779100
266,2024-04-25,155.25772094726562,155.74539489675468,150.15212564884374,150.60994355919925,57109700
267,2024-04-26,171.1318359375,173.87871320868138,168.84277660691075,173.5403194325108,64665300
268,2024-04-29,165.35940551757812,168.74323647348305,164.42389105822426,168.2555625642054,45610000
269,2024-04-30,162.00546264648438,167.3001564313842,161.82632640780892,164.8219988264117,33562900
270,2024-05-01,163.080322265625,166.3248050727695,162.31398182603573,163.51823108824746,33493200
271,2024-05-02,165.82717895507812,165.9366561572897,163.1101731735162,164.00588469256783,24294500
272,2024-05-03,166.4442596435547,167.16083502137172,162.27419368231517,166.76272915248109,34662400
273,2024-05-06,167.30014038085938,167.33994336801806,165.23998271662975,166.66318628303551,21871300
274,2024-05-07,170.43515014648438,170.94271797332505,167.58875812637166,167.69823532661383,28039700
275,2024-05-08,168.5740509033203,169.34037610962505,167.93709679670465,168.1958541822666,19569100
276,2024-05-09,169.15130615234375,169.87782842770906,167.37976174414283,168.58401102643612,15346700
277,2024-05-10,167.84751892089844,169.0418211972959,165.39923266388908,167.2304738812949,29799900
278,2024-05-13,168.33518981933594,168.47452305757707,163.2196478065062,163.47840519575857,31327600
279,2024-05-14,169.52947998046875,170.43515363864887,167.99681433185833,168.9622000666333,25127100
280,2024-05-15,171.68914794921875,171.82848118606026,169.69866445937762,169.81810379537313,26948400
281,2024-05-16,173.3511962890625,174.28672593990896,171.86829583867203,172.46543176167918,27867900
282,2024-05-17,175.2222900390625,175.4312975242247,172.86357154778918,173.35123036952348,24479300
283,2024-05-20,176.0781707763672,177.9193741112275,175.24217134065958,175.3516485419678,22554400
284,2024-05-21,177.00376892089844,177.30232932665308,174.97346704465423,176.05827701539062,16989400
285,2024-05-22,175.540771484375,176.3070968146428,174.3763402817088,175.7995289117943,17880000
286,2024-05-23,172.72422790527344,177.40186161179759,172.12707671457434,176.22748350592448,21024900
287,2024-05-24,174.15736389160156,174.93365126217552,172.82372836993727,174.14740175468117,16572500
288,2024-05-28,175.56063842773438,176.42650907586395,173.54029889240527,173.61992005465763,20572200
289,2024-05-29,175.06304931640625,175.99857915988247,173.88867112902065,174.59528439466814,23388700
290,2024-05-30,171.29107666015625,174.38627944367667,170.97259197646454,174.36637035439955,22958700
291,2024-05-31,171.67919921875,172.23653216033742,168.63376194065896,171.0422451160524,37638900
292,2024-06-03,172.3460235595703,173.69955303760383,170.3455929752159,171.71901635552842,27459100
293,2024-06-04,172.96307373046875,173.0228009976231,171.07212029758608,172.45550585604707,26879600
294,2024-06-05,174.5753631591797,175.80945323933747,173.10239440013726,174.36635570479385,22068500
295,2024-06-06,175.88906860351562,176.30706831231922,174.91373594964054,175.06301613629049,23251000
296,2024-06-07,173.62986755371094,177.02363008978182,173.4706252426309,176.20753982131612,19661400
297,2024-06-10,174.37716674804688,176.41975708694557,172.13530264029285,174.3373180757214,23779200
298,2024-06-11,175.98135375976562,176.20055947666336,173.14166821496,175.5828062037414,21540600
299,2024-06-12,177.14710998535156,179.75764648213246,175.47319211286342,177.60545332869307,27864700
300,2024-06-13,174.52664184570312,176.100930541289,174.24765551520585,175.47320369586276,20913300
301,2024-06-14,176.15072631835938,176.419754263997,173.52027308216327,173.59002726213419,18063600
302,2024-06-17,176.59910583496094,177.715051051079,174.17788480631722,174.82554352922475,19618500
303,2024-06-18,174.45687866210938,176.74856500464978,173.47046818859647,176.49946899358264,21869900
304,2024-06-20,175.6625213623047,176.648931899367,174.35726061279985,174.73587623555667,20160100
